Year,October: BOB,October: AS,October: LAND,October: TOTAL,November: BOB,November: AS,November: LAND,November: TOTAL,December: BOB,December: AS,December: LAND,December: TOTAL,October - December: BOB,October - December: AS,October - December: LAND,October - December: TOTAL
1891,1,0,0,1,1,1,1,3,0,0,0,0,2,1,1,4
1892,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3
1893,2,0,0,2,1,1,0,2,0,0,0,0,3,1,0,4
1894,2,1,0,3,0,0,0,0,0,0,0,0,2,1,0,3
1895,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
1896,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
1897,2,0,0,2,0,0,0,0,1,0,0,1,3,0,0,3
1898,1,0,0,1,1,0,0,1,0,0,0,0,2,0,0,2
1899,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1900,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2
1901,2,0,0,2,2,0,0,2,0,0,0,0,4,0,0,4
1902,1,2,0,3,0,0,0,0,0,1,0,1,1,3,0,4
1903,2,0,0,2,3,0,0,3,0,0,0,0,5,0,0,5
1904,1,0,0,1,1,0,0,1,0,0,0,0,2,0,0,2
1905,1,1,0,2,0,0,0,0,1,0,0,1,2,1,0,3
1906,1,1,0,2,0,0,0,0,1,0,0,1,2,1,0,3
1907,2,0,0,2,2,1,0,3,0,0,0,0,4,1,0,5
1908,0,1,0,1,2,0,0,2,1,0,0,1,3,1,0,4
1909,2,0,0,2,0,0,0,0,1,0,0,1,3,0,0,3
1910,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2
1911,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
1912,1,1,0,2,0,0,1,1,1,0,0,1,2,1,1,4
1913,2,0,0,2,1,0,0,1,1,0,0,1,4,0,0,4
1914,1,0,0,1,0,0,0,0,1,0,0,1,2,0,0,2
1915,1,0,0,1,2,0,0,2,1,0,0,1,4,0,0,4
1916,4,0,0,4,3,0,0,3,0,0,0,0,7,0,0,7
1917,2,1,0,3,0,0,0,0,0,0,0,0,2,1,0,3
1918,1,0,0,1,2,0,0,2,1,0,0,1,4,0,0,4
1919,0,0,0,0,2,0,0,2,1,0,0,1,3,0,0,3
1920,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
1921,2,0,0,2,1,0,0,1,1,0,0,1,4,0,0,4
1922,1,0,0,1,3,0,0,3,1,0,0,1,5,0,0,5
1923,1,0,0,1,1,0,0,1,2,0,0,2,4,0,0,4
1924,3,0,0,3,2,0,0,2,0,0,0,0,5,0,0,5
1925,2,0,0,2,3,0,0,3,1,0,0,1,6,0,0,6
1926,1,0,0,1,2,0,0,2,1,0,0,1,4,0,0,4
1927,2,0,0,2,1,1,0,2,0,0,0,0,3,1,0,4
1928,2,1,0,3,1,0,0,1,1,0,0,1,4,1,0,5
1929,1,0,0,1,2,0,0,2,0,0,0,0,3,0,0,3
1930,1,1,0,2,3,0,0,3,1,0,0,1,5,1,0,6
1931,3,0,0,3,0,0,0,0,2,0,0,2,5,0,0,5
1932,2,1,0,3,2,0,0,2,0,0,0,0,4,1,0,5
1933,1,0,0,1,1,0,0,1,1,0,0,1,3,0,0,3
1934,1,1,1,3,2,0,0,2,0,0,0,0,3,1,1,5
1935,2,0,0,2,2,0,0,2,1,0,0,1,5,0,0,5
1936,1,0,0,1,1,1,0,2,2,0,0,2,4,1,0,5
1937,2,0,1,3,2,0,0,2,1,0,0,1,5,0,1,6
1938,1,0,0,1,2,1,0,3,0,0,0,0,3,1,0,4
1939,1,1,0,2,1,1,0,2,1,0,0,1,3,2,0,5
1940,1,1,0,2,2,1,0,3,1,0,0,1,4,2,0,6
1941,1,1,0,2,2,0,0,2,1,0,0,1,4,1,0,5
1942,2,0,0,2,1,0,0,1,0,0,0,0,3,0,0,3
1943,3,0,0,3,1,1,0,2,0,0,0,0,4,1,0,5
1944,3,0,0,3,2,0,0,2,1,0,0,1,6,0,0,6
1945,1,0,0,1,2,1,0,3,2,0,0,2,5,1,0,6
1946,2,0,0,2,3,0,0,3,2,0,0,2,7,0,0,7
1947,3,0,0,3,1,0,0,1,2,0,0,2,6,0,0,6
1948,3,2,0,5,0,1,0,1,0,0,0,0,3,3,0,6
1949,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2
1950,1,0,0,1,1,0,0,1,1,0,0,1,3,0,0,3
1951,1,0,0,1,1,1,0,2,1,0,0,1,3,1,0,4
1952,4,0,0,4,2,0,0,2,0,1,1,2,6,1,1,8
1953,1,0,0,1,2,0,0,2,0,0,0,0,3,0,0,3
1954,2,0,0,2,0,0,0,0,2,0,0,2,4,0,0,4
1955,3,0,0,3,2,0,0,2,0,0,0,0,5,0,0,5
1956,1,1,0,2,1,0,0,1,0,0,0,0,2,1,0,3
1957,0,1,0,1,0,1,0,1,1,0,0,1,1,2,0,3
1958,3,0,0,3,2,0,0,2,0,0,0,0,5,0,0,5
1959,1,1,0,2,1,0,0,1,1,0,0,1,3,1,0,4
1960,2,0,0,2,3,2,0,5,0,0,0,0,5,2,0,7
1961,1,0,1,2,0,0,0,0,0,0,0,0,1,0,1,2
1962,2,0,0,2,1,0,0,1,1,0,0,1,4,0,0,4
1963,4,1,0,5,0,1,0,1,1,1,0,2,5,3,0,8
1964,2,0,0,2,2,1,0,3,1,0,0,1,5,1,0,6
1965,2,0,0,2,1,0,0,1,2,1,0,3,5,1,0,6
1966,1,1,0,2,4,0,0,4,2,0,0,2,7,1,0,8
1967,4,0,0,4,1,0,0,1,1,0,0,1,6,0,0,6
1968,1,0,0,1,2,0,0,2,1,0,0,1,4,0,0,4
1969,2,0,0,2,1,0,0,1,2,0,0,2,5,0,0,5
1970,1,1,0,2,2,1,0,3,0,0,0,0,3,2,0,5
1971,2,1,0,3,1,0,0,1,0,1,0,1,3,2,0,5
1972,1,1,0,2,2,1,0,3,3,0,0,3,6,2,0,8
1973,1,1,0,2,2,0,0,2,3,0,0,3,6,1,0,7
1974,2,1,0,3,1,0,0,1,0,0,0,0,3,1,0,4
1975,2,2,0,4,3,0,0,3,0,0,0,0,5,2,0,7
1976,1,1,0,2,3,1,0,4,1,0,0,1,5,2,0,7
1977,1,1,0,2,3,2,0,5,0,0,0,0,4,3,0,7
1978,2,0,0,2,2,0,0,2,0,0,0,0,4,0,0,4
1979,1,0,0,1,1,1,0,2,0,0,0,0,2,1,0,3
1980,2,1,0,3,0,1,0,1,2,0,0,2,4,2,0,6
1981,1,1,0,2,2,0,0,2,1,0,0,1,4,1,0,5
1982,2,1,0,3,1,3,0,4,1,0,0,1,4,4,0,8
1983,2,0,0,2,1,0,0,1,0,0,1,1,3,0,1,4
1984,1,0,0,1,2,0,0,2,0,1,0,1,3,1,0,4
1985,3,1,0,4,2,0,0,2,1,0,0,1,6,1,0,7
1986,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0,2
1987,2,0,0,2,1,0,0,1,1,0,0,1,4,0,0,4
1988,2,0,0,2,2,0,0,2,1,0,0,1,5,0,0,5
1989,1,0,0,1,3,0,0,3,0,0,0,0,4,0,0,4
1990,2,0,0,2,1,1,0,2,1,0,0,1,4,1,0,5
1991,2,0,0,2,1,0,0,1,0,0,0,0,3,0,0,3
1992,2,1,0,3,3,0,0,3,0,2,0,2,5,3,0,8
1993,0,0,0,0,1,1,0,2,2,0,0,2,3,1,0,4
1994,2,0,0,2,1,1,0,2,0,0,0,0,3,1,0,4
1995,0,1,0,1,2,0,0,2,0,0,0,0,2,1,0,3
1996,2,1,0,3,2,0,0,2,0,0,0,0,4,1,0,5
1997,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0,2
1998,2,2,0,4,2,0,0,2,0,1,0,1,4,3,0,7
1999,2,0,0,2,0,0,0,0,1,0,0,1,3,0,0,3
2000,2,0,0,2,1,0,0,1,1,0,0,1,4,0,0,4
2001,1,1,0,2,1,0,0,1,0,0,0,0,2,1,0,3
2002,1,0,0,1,2,0,0,2,1,0,0,1,4,0,0,4
2003,2,0,0,2,0,1,0,1,1,0,0,1,3,1,0,4
2004,1,0,1,2,0,2,0,2,0,0,0,0,1,2,1,4
2005,1,0,0,1,2,0,0,2,2,0,0,2,5,0,0,5
2006,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2007,1,1,0,2,1,0,0,1,0,0,0,0,2,1,0,3
2008,1,1,0,2,1,0,1,2,1,0,0,1,3,1,1,5
2009,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,2
2010,3,0,0,3,1,0,0,1,1,0,0,1,5,0,0,5
2011,1,1,0,2,0,2,0,2,0,1,0,1,1,4,0,5
2012,2,1,0,3,1,0,0,1,0,1,0,1,3,2,0,5
2013,1,0,0,1,3,1,0,4,1,0,0,1,5,1,0,6
2014,1,1,0,2,1,0,0,1,0,0,0,0,2,1,0,3
2015,0,2,0,2,1,1,0,2,0,0,0,0,1,3,0,4
2016,1,0,0,1,2,0,0,2,1,1,0,2,4,1,0,5
2017,1,0,0,1,3,0,0,3,1,0,0,1,5,0,0,5
2018,1,1,0,2,1,0,0,1,1,0,0,1,3,1,0,4
2019,0,2,0,2,1,0,0,1,0,3,0,3,1,5,0,6
2020,2,1,0,3,1,1,0,2,1,0,0,1,4,2,0,6
2021,0,0,0,0,2,1,0,3,1,0,0,1,3,1,0,4
