Year,October: BOB,October: AS,October: LAND,October: TOTAL,November: BOB,November: AS,November: LAND,November: TOTAL,December: BOB,December: AS,December: LAND,December: TOTAL,October- December: BOB,October- December: AS,October- December: LAND,October- December: TOTAL
1891,0,0,0,0,1,1,1,3,0,0,0,0,1,1,1,0
1892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1893,1,0,0,1,1,1,0,2,0,0,0,0,2,1,0,1
1894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1895,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
1896,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1897,1,0,0,1,0,0,0,0,1,0,0,1,2,0,0,1
1898,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1901,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1902,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0
1903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1906,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1907,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1908,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1909,2,0,0,2,0,0,0,0,1,0,0,1,3,0,0,2
1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1911,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1912,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1
1913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1916,1,0,0,1,1,0,0,1,0,0,0,0,2,0,0,1
1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1919,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1920,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1921,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1922,0,0,0,0,3,0,0,3,1,0,0,1,4,0,0,0
1923,0,0,0,0,1,0,0,1,1,0,0,1,2,0,0,0
1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1925,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1926,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0
1927,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1931,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
1932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1933,0,0,0,0,1,0,0,1,1,0,0,1,2,0,0,0
1934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1935,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1938,1,0,0,1,2,1,0,3,0,0,0,0,3,1,0,1
1939,0,0,0,0,1,0,0,1,1,0,0,1,2,0,0,0
1940,0,1,0,1,0,1,0,1,0,0,0,0,0,2,0,0
1941,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1942,1,0,0,1,1,0,0,1,0,0,0,0,2,0,0,1
1943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1945,1,0,0,1,0,0,0,0,1,0,0,1,2,0,0,1
1946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1947,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1948,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1949,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0
1952,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,1,0,0,1,1,0,0,1,0,0,0,0,2,0,0,1
1956,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1957,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1958,1,0,0,1,1,0,0,1,0,0,0,0,2,0,0,1
1959,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1960,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2
1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,0,0,1,1,0,0,1,1,0,0,1,3,0,0,1
1963,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2
