YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
1901,24.17,26.02,30.87,33.99,35.02,34.44,31.83,30.5,31.24,31.18,28.42,25.83,30.29,25.1,33.29,32,28.48
1902,26.28,27.99,31.77,33.58,35.11,33.89,31.52,31.23,30.29,30.21,27.74,25.19,30.4,27.14,33.49,31.73,27.71
1903,24.83,26.54,29.9,33.53,34.72,34.04,31.75,30.4,30.37,30.06,27.35,25.11,29.88,25.68,32.72,31.64,27.51
1904,24.64,26.42,30.14,33.67,34.18,32.9,30.72,30.61,30.83,30.56,27.75,25.2,29.8,25.53,32.67,31.27,27.83
1905,23.63,23.83,28.51,31.87,34.89,34.37,31.66,30.89,30.83,31.17,28.82,25.48,29.66,23.73,31.75,31.93,28.49
1906,24.5,25.41,29.14,33.92,35.86,33.21,31.28,30.48,30.5,30.54,28.69,25.96,29.96,24.95,32.97,31.37,28.39
1907,25.98,25.83,28.99,32.24,34.29,33.19,31.73,29.96,31.16,31.33,29.01,25.69,29.95,25.9,31.84,31.51,28.68
1908,24.91,27.1,30.58,34.48,34.75,34.04,30.74,29.93,30.44,30.73,28.07,25.27,30.09,26.01,33.27,31.29,28.02
1909,24.87,26.65,31.57,32.18,34.59,32.38,30.27,30.13,30.38,30.64,28.94,25.21,29.82,25.76,32.78,30.79,28.27
1910,25.05,27.35,30.63,33.46,35.04,32.63,30.8,30.16,30.27,29.79,27.35,24.95,29.79,26.2,33.04,30.97,27.36
1911,25.37,26.85,29.06,33.07,35.24,32.83,31.96,30.85,30.59,30.44,27.37,25.35,29.91,26.11,32.46,31.56,27.72
1912,25.36,27.61,30.69,32.98,35.11,34.44,31.19,30.42,30.84,30.72,27.48,25.21,30.17,26.49,32.93,31.72,27.8
1913,25.43,26.53,29.54,34,34.5,32.55,31.06,30.81,31.11,30.69,27.83,24.98,29.92,25.98,32.68,31.38,27.83
1914,25.89,26.78,30,32.55,34.72,33.48,30.86,30.27,30.68,30.28,28.39,25.58,29.96,26.33,32.43,31.32,28.08
1915,24.93,26.06,29.76,33.23,35.33,34.38,31.95,31.05,31.23,30.97,28.72,25.29,30.24,25.49,32.77,32.15,28.33
1916,25.56,26.7,32.03,33.68,35.15,32.24,31.09,30.29,30.27,29.73,27.33,25.09,29.93,26.13,33.62,30.97,27.38
1917,25.19,26.62,29.77,32.54,32.68,32.14,30.81,30.23,29.54,29.06,27.17,25.05,29.23,25.91,31.67,30.68,27.09
1918,24.19,27.11,30.17,32.63,34.33,32.31,32.3,30.84,31.15,31.54,28.45,25.11,30.01,25.65,32.38,31.65,28.37
1919,25.19,26.47,30.76,33.29,34.89,33.11,31.06,30.47,30.54,30.5,27.97,25.16,29.95,25.83,32.98,31.3,27.88
1920,25.01,26.55,30.25,33.07,34.02,33.3,31.17,30.76,31.33,31.29,28.84,26.43,30.17,25.78,32.45,31.64,28.85
1921,25.62,28.11,31.93,34.1,36.49,33.44,31.53,30.18,30.18,29.83,27.87,25.91,30.43,26.87,34.17,31.33,27.87
1922,24.7,27.72,31.43,33.93,35.56,33.04,31.01,30.52,30.17,30.15,27.81,24.98,30.09,26.21,33.64,31.19,27.65
1923,25.14,25.94,30.55,33.81,34.78,34.69,30.94,30.31,30.62,30.11,28.06,25.69,30.05,25.54,33.05,31.64,27.96
1924,24.76,27.08,32.05,34.14,34.45,34.45,31.19,30.59,29.87,30.26,27.19,25.23,30.11,25.92,33.55,31.53,27.56
1925,24.21,26.39,31.11,33.99,34.06,32.57,30.5,30.51,31.17,30.75,27.68,25.4,29.86,25.3,33.06,31.19,27.94
1926,25.2,27.82,29.63,32.26,34.25,35.03,31.6,30.44,30.14,30.51,27.68,25.65,30.02,26.51,32.05,31.8,27.95
1927,25.05,26.21,29.88,33.38,34.3,33.45,30.88,30.22,30.88,30.54,27.27,25.75,29.82,25.63,32.52,31.36,27.86
1928,24.96,27.04,30.78,33.45,35.36,33.28,31.01,30.83,31,30.43,28.3,25.29,30.14,26,33.2,31.53,28.01
1929,24.97,26.13,31.59,33.15,35.22,33.2,31.1,30.31,31.25,29.94,28.53,24.77,30.01,25.55,33.32,31.46,27.75
1930,24.6,26.31,30.66,32.87,34.57,33.05,31,30.58,30.95,30.5,27.66,25.97,29.89,25.45,32.7,31.4,28.04
1931,26.16,26.3,30.66,34.34,34.96,34.42,31.07,30.81,30.5,30.05,27.98,25.76,30.25,26.23,33.32,31.7,27.93
