YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
1901,14.46,15.76,19.02,22.45,24.5,25.26,24.64,24.17,23.22,21.48,17.42,14.28,20.55,15.11,21.99,24.32,17.73
1902,14.06,15.17,19.69,22.72,24.88,25.05,24.47,24.2,23.24,20.44,17.12,14.35,20.45,14.61,22.43,24.24,17.31
1903,13.74,14.87,17.94,21.82,24.22,25.02,24.89,23.92,23.62,21.31,16.66,13.5,20.13,14.3,21.33,24.37,17.16
1904,13.75,14.23,18.67,22.55,24.17,24.71,24,23.91,22.85,20.77,16.57,14.53,20.06,13.99,21.8,23.87,17.29
1905,13.05,12.91,17.78,20.65,24.58,25.37,24.6,24.41,23.49,21.52,17.67,14.1,20.01,12.98,21,24.47,17.76
1906,13.6,15.49,18.04,22.17,25.24,24.8,24.62,23.89,23.47,21.09,17.4,14.97,20.4,14.54,21.82,24.19,17.82
1907,14.57,15.67,18.07,21.97,23.6,24.63,24.47,23.82,22.95,20.66,17.31,13.28,20.08,15.12,21.21,23.96,17.08
1908,13.49,14.97,18.05,22.97,24.33,25.12,24.17,23.79,22.96,20.14,16.08,12.96,19.92,14.23,21.79,24.01,16.39
1909,13.89,14.93,18.6,21.71,24.22,24.51,23.97,23.62,23.27,20.64,17.26,14.71,20.11,14.41,21.51,23.84,17.53
1910,13.55,14.99,18.36,21.86,24.38,24.55,24.04,23.9,23.18,20.63,16.26,13.07,19.9,14.27,21.53,23.92,16.65
1911,14.62,14.51,17.92,21.81,24.63,24.73,24.45,23.94,23.27,21.07,17.7,14.41,20.26,14.56,21.45,24.1,17.73
1912,14.09,16.49,18.18,22.3,24.63,25.2,24.46,23.86,22.66,20.55,16.7,13.67,20.23,15.29,21.7,24.04,16.97
1913,13.18,15.98,17.65,22.5,23.87,24.33,24.02,23.77,22.94,20.68,16.44,14.41,19.98,14.58,21.34,23.77,17.17
1914,13.95,15.41,18.23,21.51,24.52,24.92,24.45,23.68,23.32,20.35,17.72,14.2,20.19,14.68,21.42,24.09,17.42
1915,14.14,15.25,18.85,22.27,25.28,25.13,24.76,24.43,23.69,22.15,18.17,13.56,20.64,14.69,22.13,24.5,17.96
1916,13.53,15.03,19.2,22.84,24.27,24.56,24.17,24.05,23.31,21.52,17.1,13.25,20.24,14.28,22.1,24.02,17.29
1917,13.4,15.41,18.05,21.14,22.79,24.29,24.3,23.91,23.2,21.08,16.62,13.9,19.84,14.41,20.66,23.92,17.2
1918,13.04,14.67,18.26,21.08,24.43,24.21,24.51,23.93,22.98,20.3,17.47,13.99,19.91,13.86,21.26,23.91,17.26
1919,14.93,15.34,18.8,21.96,24.25,24.98,24.29,24.15,22.99,20.73,17.6,14.26,20.36,15.13,21.67,24.1,17.53
1920,14.35,15.04,19.08,21.78,23.29,24.57,24.5,23.58,23.19,21.06,17.37,13.52,20.11,14.69,21.38,23.96,17.32
1921,14.25,15.49,19.53,22.94,25.79,24.87,24.41,23.93,23,20.33,16.34,14.7,20.47,14.87,22.75,24.05,17.12
1922,14.08,15.62,18.79,22.59,25,24.62,24.31,23.9,23.22,20.29,17.07,13.7,20.27,14.85,22.13,24.01,17.02
1923,13.79,15.16,18.75,22.37,24.4,25.52,24.17,24.03,22.94,20.4,16.84,14.76,20.26,14.47,21.84,24.16,17.33
1924,14.09,15.64,19.41,22.91,23.97,25.33,24.65,24.14,23.15,20.92,17.1,14.6,20.49,14.87,22.1,24.32,17.54
1925,12.9,14.08,18.58,22.97,24.27,24.46,24.19,23.93,23.22,20.96,17.46,14,20.08,13.49,21.94,23.95,17.47
1926,14.41,16.19,18.98,21.2,24.09,25.6,24.7,24.3,23.27,20.61,15.83,13.97,20.26,15.3,21.42,24.47,16.8
1927,13.64,15.31,18.24,21.94,24.07,24.79,24.33,23.88,23.06,21.06,17.02,14.97,20.19,14.48,21.42,24.01,17.68
1928,14.43,15.87,18.72,22.23,24.84,24.73,24.32,23.92,23.21,21.39,17.47,14.64,20.48,15.15,21.93,24.05,17.83
1929,14.02,14.83,19.23,22.54,24.87,24.67,24.35,23.72,23.05,20.67,17.12,14.45,20.29,14.42,22.21,23.95,17.41
1930,13.5,14.65,18.76,22.06,24.42,24.44,24.26,23.78,23.11,21.19,17.06,14.17,20.12,14.08,21.75,23.9,17.47
1931,14.59,15.72,18.53,23.07,24.74,25.3,24.29,24.52,23.38,21.46,17.37,14.73,20.64,15.15,22.11,24.37,17.85
1932,14.04,14.72,18.8,22.15,24.29,25.17,24.4,23.76,23.33,21.1,17.32,14.11,20.27,14.38,21.75,24.16,17.51
1933,13.35,16.05,18.73,21.69,23.76,24.69,24.48,23.84,23.2,20.89,17.18,14.38,20.19,14.7,21.39,24.05,17.49
1934,13.29,15.29,18.31,22.31,24.3,24.7,24.42,24.02,23.42,20.35,16.43,14.36,20.1,14.29,21.64,24.14,17.05
1935,13.24,15.97,18.51,21.27,24.75,25.02,24.37,23.61,22.85,20.51,16.77,14.4,20.1,14.6,21.51,23.96,17.23
1936,13.55,15.68,18.68,22.18,25.06,24.18,24.28,23.94,23.34,20.79,18.1,14.97,20.4,14.62,21.97,23.94,17.95
1937,12.9,16.45,18.17,21.87,24.45,25.17,24.28,24.14,23.35,20.36,16.97,13.45,20.13,14.68,21.49,24.23,16.93
1938,14.37,14.85,19.6,22.71,25.01,24.41,24.26,24.04,23.19,20.87,15.9,13.93,20.26,14.61,22.44,23.97,16.9
1939,13.85,15.64,17.69,21.66,24.57,24.68,24.26,24.01,23.19,21.11,16.62,13.98,20.11,14.74,21.31,24.04,17.24
1940,12.97,15.4,17.99,21.52,24.62,25.03,24.49,23.85,22.89,20.47,17.16,13.56,20,14.19,21.38,24.06,17.06
1941,13.98,15.21,19.33,23.34,25.07,25.15,24.51,24.41,23.3,21.46,16.91,14.81,20.62,14.6,22.58,24.34,17.73
1942,13.68,15.86,18.71,22.67,25.07,25.54,24.47,23.81,22.93,19.98,16.27,13.31,20.19,14.77,22.15,24.19,16.52
1943,13.84,13.74,18.13,21.23,24.34,24.59,24.14,23.64,23.22,20.14,16.42,13.11,19.71,13.79,21.23,23.9,16.56
1944,12.78,14.43,17.76,21.07,24.88,24.91,24.37,24.01,22.87,20.19,16.25,13.7,19.77,13.6,21.24,24.04,16.71
1945,11.93,13.38,18.03,21.14,24.16,25.22,24.33,24.03,23.32,20.29,15.52,11.8,19.43,12.66,21.11,24.23,15.87
1946,12.68,15.77,18.36,22.62,24.52,24.86,24.44,24.03,22.95,21.15,17.72,15.1,20.35,14.23,21.83,24.07,17.99
1947,13.79,15.16,19.1,22.77,24.82,25.45,24.49,24.4,23.53,20.57,16.89,14.51,20.46,14.48,22.23,24.47,17.32
1948,14.56,15.54,18.46,22.59,24.94,25.22,24.48,24.07,23.24,21.27,17.77,13.99,20.51,15.05,22,24.25,17.67
1949,14.22,14.97,18.88,22.63,24.77,24.86,24.34,23.99,23.52,21.27,15.86,13.18,20.21,14.59,22.09,24.18,16.77
1950,13.72,14.36,18.18,21.56,24.67,25.07,24.3,23.86,23.13,20.35,16.1,13.29,19.88,14.04,21.47,24.09,16.58
1951,13.35,14.28,18.59,21.31,24.3,24.77,24.34,24.28,23.46,22.19,17.93,13.95,20.23,13.82,21.4,24.21,18.02
1952,13.96,16.29,18.29,22.88,24.95,25.17,24.52,23.98,23.23,20.86,16.32,14.38,20.4,15.12,22.04,24.23,17.19
1953,13.9,15.99,20.26,22.61,25.09,25.36,24.36,24.12,23.26,20.62,16.5,14.63,20.56,14.95,22.66,24.27,17.25
1954,13.17,16.21,18.88,22.8,25.12,25.08,24.23,24.01,23.48,19.93,15.95,14.09,20.25,14.69,22.27,24.2,16.66
1955,13.96,15.41,19.46,21.16,24.04,24.84,24.18,23.89,23.35,21.03,16.35,13.63,20.11,14.69,21.55,24.07,17
1956,13.48,14.36,19.08,22.52,24.94,24.58,23.86,23.6,23.11,20.9,16.9,14.23,20.13,13.92,22.18,23.78,17.34
1957,14.1,14.32,17.73,21.75,24.27,24.87,24.51,24.06,23.01,20.75,17.63,15.1,20.17,14.21,21.25,24.11,17.83
1958,14.78,15.54,19.2,23.15,24.75,25.6,24.68,24.09,23.64,21.56,17.79,15.22,20.83,15.16,22.37,24.5,18.19
1959,14.15,15.17,18.74,22.66,24.8,25.04,24.23,24.19,23.57,21.59,17.14,14.27,20.46,14.66,22.07,24.26,17.67
1960,13.31,15.56,18.13,21.78,24.36,25,24.43,24.33,23.34,20.62,16.59,14.56,20.17,14.43,21.42,24.27,17.25
1961,14.15,14.57,19.28,22.26,24.37,24.55,24.24,24.12,23.37,20.58,16.59,13.03,20.09,14.36,21.97,24.07,16.73
1962,12.24,15.33,18.27,22.25,24.25,24.8,24.55,23.8,23.04,20.06,16.41,14.26,19.94,13.78,21.59,24.05,16.91
1963,12.69,15.12,18.62,21.65,23.83,24.66,24.44,24.01,23.06,21.14,18,14.64,20.16,13.91,21.37,24.04,17.93
1964,12.83,15.14,19.31,22.69,24,24.68,23.83,23.83,22.92,20.82,16.2,13.95,20.02,13.99,22,23.81,16.99
1965,13.92,15.01,17.68,21.28,23.69,24.81,23.96,23.33,22.72,20.75,17.23,14.24,19.89,14.47,20.88,23.71,17.41
1966,13.85,16.1,18.38,22.19,24.28,24.72,24.36,23.88,22.69,20.46,17.82,13.65,20.2,14.98,21.62,23.91,17.31
1967,12.87,15.19,18.07,21.51,23.98,24.65,24.17,23.71,23,20.1,16.38,15.53,19.93,14.03,21.19,23.88,17.34
1968,13.17,14.39,18.38,21.45,23.68,24.55,24.11,23.81,23.1,20.29,16.89,13.96,19.82,13.78,21.17,23.89,17.04
1969,13.02,15.05,19.52,22.33,24.08,25.04,24.32,23.71,22.95,20.71,18,14.36,20.26,14.04,21.98,24,17.69
1970,13.77,15.41,18.6,22.48,24.54,24.32,24.08,23.82,23.13,20.87,15.95,12.52,19.96,14.59,21.87,23.83,16.45
1971,12.9,14.69,17.8,21.89,23.4,24.05,23.62,23.3,22.71,20.53,15.97,13.53,19.53,13.79,21.03,23.42,16.68
1972,12.72,13.7,18.28,21.4,24.05,24.87,24.21,23.69,22.59,20.42,16.97,14.75,19.8,13.21,21.24,23.84,17.38
